innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,0.0,1.0,Australia,0.0,0.0,0.0,0.45073342,0.3499223,0.19934428
1.0,1.0,0.0,2.0,Australia,1.0,0.0,1.0,0.40424135,0.34644672,0.24931191
1.0,1.0,0.0,3.0,Australia,1.0,0.0,1.0,0.40335563,0.39537293,0.20127143
1.0,1.0,0.0,4.0,Australia,4.0,0.0,4.0,0.612308,0.18638062,0.20131133
1.0,1.0,0.0,5.0,Australia,4.0,0.0,4.0,0.57091266,0.24138573,0.18770158
1.0,1.0,0.0,6.0,Australia,4.0,0.0,4.0,0.49223843,0.2856444,0.22211713
1.0,1.0,1.0,7.0,Australia,4.0,1.0,4.0,0.5161532,0.31530562,0.16854121
1.0,1.0,1.0,8.0,Australia,5.0,1.0,5.0,0.5245505,0.3098334,0.1656161
1.0,1.0,1.0,9.0,Australia,5.0,1.0,5.0,0.51428825,0.31652093,0.16919081
1.0,1.0,1.0,10.0,Australia,5.0,1.0,5.0,0.45209825,0.35704792,0.19085382
1.0,1.0,1.0,11.0,Australia,5.0,1.0,5.0,0.4474172,0.36050913,0.19207363
1.0,1.0,1.0,12.0,Australia,5.0,1.0,5.0,0.44378263,0.3763691,0.17984825
1.0,1.0,1.0,13.0,Australia,5.0,1.0,5.0,0.43802917,0.39695632,0.16501454
1.0,1.0,2.0,14.0,Australia,5.0,1.0,5.0,0.45928586,0.30772823,0.23298594
1.0,1.0,2.0,15.0,Australia,5.0,1.0,5.0,0.45928586,0.30772823,0.23298594
1.0,1.0,2.0,16.0,Australia,5.0,1.0,5.0,0.45928586,0.30772823,0.23298594
1.0,1.0,2.0,17.0,Australia,9.0,1.0,9.0,0.51314515,0.25548425,0.23137061
1.0,1.0,2.0,18.0,Australia,9.0,1.0,9.0,0.47333053,0.2763776,0.2502919
1.0,1.0,2.0,19.0,Australia,9.0,1.0,9.0,0.4687212,0.27923045,0.25204837
1.0,1.0,3.0,20.0,Australia,9.0,1.0,9.0,0.44570345,0.3638729,0.19042371
1.0,1.0,3.0,21.0,Australia,10.0,1.0,10.0,0.4515691,0.3578004,0.19063045
1.0,1.0,3.0,22.0,Australia,10.0,1.0,10.0,0.4474172,0.36050913,0.19207363
1.0,1.0,3.0,23.0,Australia,10.0,1.0,10.0,0.4420104,0.3691437,0.18884587
1.0,1.0,3.0,24.0,Australia,10.0,1.0,10.0,0.44378263,0.3763691,0.17984825
1.0,1.0,3.0,25.0,Australia,10.0,1.0,10.0,0.43802917,0.39695632,0.16501454
1.0,1.0,3.0,26.0,Australia,10.0,1.0,10.0,0.43802917,0.39695632,0.16501454
1.0,1.0,4.0,27.0,Australia,10.0,1.0,10.0,0.45928586,0.30772823,0.23298594
1.0,1.0,4.0,28.0,Australia,10.0,1.0,10.0,0.45928586,0.30772823,0.23298594
1.0,1.0,4.0,29.0,Australia,10.0,1.0,10.0,0.45928586,0.30772823,0.23298594
1.0,1.0,4.0,30.0,Australia,10.0,1.0,10.0,0.45928586,0.30772823,0.23298594
1.0,1.0,4.0,31.0,Australia,10.0,1.0,10.0,0.45928586,0.30772823,0.23298594
1.0,1.0,4.0,32.0,Australia,14.0,1.0,14.0,0.46454906,0.28683963,0.24861127
1.0,1.0,5.0,33.0,Australia,14.0,1.0,14.0,0.44378263,0.3763691,0.17984825
1.0,1.0,5.0,34.0,Australia,15.0,1.0,15.0,0.5139903,0.28706113,0.1989486
1.0,1.0,5.0,35.0,Australia,15.0,1.0,15.0,0.5101468,0.28933126,0.20052193
1.0,1.0,5.0,36.0,Australia,15.0,1.0,15.0,0.50558436,0.28674367,0.20767199
1.0,1.0,5.0,37.0,Australia,15.0,1.0,15.0,0.5001112,0.2975079,0.20238087
1.0,1.0,5.0,38.0,Australia,15.0,1.0,15.0,0.49733812,0.30140322,0.20125866
1.0,1.0,6.0,39.0,Australia,15.0,1.0,15.0,0.39553854,0.41082352,0.19363798
1.0,1.0,6.0,40.0,Australia,15.0,1.0,15.0,0.39553854,0.41082352,0.19363798
1.0,1.0,6.0,41.0,Australia,15.0,1.0,15.0,0.39553854,0.41082352,0.19363798
1.0,1.0,6.0,42.0,Australia,15.0,1.0,15.0,0.39553854,0.41082352,0.19363798
1.0,1.0,6.0,43.0,Australia,15.0,1.0,15.0,0.39553854,0.41082352,0.19363798
1.0,1.0,6.0,44.0,Australia,16.0,1.0,16.0,0.45928586,0.30772823,0.23298594
1.0,1.0,7.0,45.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,7.0,46.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,7.0,47.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,7.0,48.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,7.0,49.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,7.0,50.0,Australia,17.0,1.0,17.0,0.49733812,0.30140322,0.20125866
1.0,1.0,8.0,51.0,Australia,17.0,1.0,17.0,0.55231446,0.33280492,0.11488062
1.0,1.0,8.0,52.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,8.0,53.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,8.0,54.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,8.0,55.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,8.0,56.0,Australia,17.0,2.0,17.0,0.5799411,0.29753643,0.12252251
1.0,1.0,9.0,57.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,58.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,59.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,60.0,Australia,20.0,2.0,20.0,0.4729424,0.35999197,0.16706556
1.0,1.0,9.0,61.0,Australia,21.0,2.0,21.0,0.46899942,0.35699064,0.17400993
1.0,1.0,9.0,62.0,Australia,22.0,2.0,22.0,0.4729424,0.35999197,0.16706556
1.0,1.0,10.0,63.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
1.0,1.0,10.0,64.0,Australia,22.0,2.0,22.0,0.5763872,0.29571313,0.12789968
