innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_Australia_win,p_draw
1.0,1.0,0.0,1.0,England,0.0,0.0,0.0,0.54037905,0.25333023,0.20629075
1.0,1.0,0.0,2.0,England,1.0,0.0,1.0,0.5426867,0.23203877,0.22527452
1.0,1.0,0.0,3.0,England,1.0,0.0,1.0,0.54037905,0.25333023,0.20629075
1.0,1.0,0.0,4.0,England,1.0,0.0,1.0,0.54037905,0.25333023,0.20629075
1.0,1.0,0.0,5.0,England,1.0,0.0,1.0,0.54037905,0.25333023,0.20629075
1.0,1.0,0.0,6.0,England,1.0,0.0,1.0,0.54037905,0.25333023,0.20629075
1.0,1.0,0.0,7.0,England,1.0,0.0,1.0,0.54037905,0.25333023,0.20629075
1.0,1.0,1.0,8.0,England,1.0,0.0,1.0,0.50549084,0.327726,0.16678315
1.0,1.0,1.0,9.0,England,1.0,0.0,1.0,0.50549084,0.327726,0.16678315
1.0,1.0,1.0,10.0,England,1.0,0.0,1.0,0.50549084,0.327726,0.16678315
1.0,1.0,1.0,11.0,England,1.0,0.0,1.0,0.50549084,0.327726,0.16678315
1.0,1.0,1.0,12.0,England,5.0,0.0,5.0,0.49981993,0.30401862,0.19616143
1.0,1.0,1.0,13.0,England,5.0,0.0,5.0,0.50549084,0.327726,0.16678315
1.0,1.0,2.0,14.0,England,5.0,0.0,5.0,0.54037905,0.25333023,0.20629075
1.0,1.0,2.0,15.0,England,9.0,0.0,9.0,0.6246224,0.19046494,0.18491262
1.0,1.0,2.0,16.0,England,9.0,0.0,9.0,0.62276226,0.19140878,0.18582895
1.0,1.0,2.0,17.0,England,9.0,0.0,9.0,0.602077,0.20190442,0.1960186
1.0,1.0,2.0,18.0,England,9.0,0.0,9.0,0.5426867,0.23203877,0.22527452
1.0,1.0,2.0,19.0,England,13.0,0.0,13.0,0.6246224,0.19046494,0.18491262
1.0,1.0,3.0,20.0,England,17.0,0.0,17.0,0.56402344,0.2563074,0.1796692
1.0,1.0,3.0,21.0,England,17.0,0.0,17.0,0.5580961,0.259792,0.18211189
1.0,1.0,3.0,22.0,England,17.0,0.0,17.0,0.5580961,0.259792,0.18211189
1.0,1.0,3.0,23.0,England,17.0,0.0,17.0,0.5580961,0.259792,0.18211189
1.0,1.0,3.0,24.0,England,17.0,0.0,17.0,0.5580961,0.259792,0.18211189
1.0,1.0,3.0,25.0,England,17.0,0.0,17.0,0.5580961,0.259792,0.18211189
1.0,1.0,4.0,26.0,England,17.0,0.0,17.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,27.0,England,17.0,0.0,17.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,28.0,England,17.0,0.0,17.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,29.0,England,18.0,0.0,18.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,30.0,England,18.0,0.0,18.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,31.0,England,22.0,0.0,22.0,0.6246224,0.19046494,0.18491262
1.0,1.0,4.0,32.0,England,22.0,0.0,22.0,0.6246224,0.19046494,0.18491262
1.0,1.0,5.0,33.0,England,22.0,0.0,22.0,0.5580961,0.259792,0.18211189
1.0,1.0,5.0,34.0,England,26.0,0.0,26.0,0.5580961,0.259792,0.18211189
1.0,1.0,5.0,35.0,England,26.0,0.0,26.0,0.5580961,0.259792,0.18211189
1.0,1.0,5.0,36.0,England,27.0,0.0,27.0,0.64183533,0.18237722,0.17578742
1.0,1.0,5.0,37.0,England,27.0,0.0,27.0,0.64183533,0.18237722,0.17578742
