innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_England_win,p_India_win,p_draw
1.0,1.0,0.0,1.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,0.0,2.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,0.0,3.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,0.0,4.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,0.0,5.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,0.0,6.0,India,0.0,0.0,0.0,0.38199273,0.3951329,0.22287434
1.0,1.0,1.0,7.0,India,0.0,0.0,0.0,0.3776455,0.41075927,0.21159518
1.0,1.0,1.0,8.0,India,4.0,0.0,4.0,0.35540685,0.3490386,0.29555452
1.0,1.0,1.0,9.0,India,4.0,0.0,4.0,0.36058143,0.36703748,0.2723811
1.0,1.0,1.0,10.0,India,6.0,0.0,6.0,0.31568262,0.37054873,0.31376863
1.0,1.0,1.0,11.0,India,6.0,0.0,6.0,0.34456998,0.35490662,0.30052337
1.0,1.0,1.0,12.0,India,10.0,0.0,10.0,0.31568262,0.37054873,0.31376863
1.0,1.0,2.0,13.0,India,11.0,0.0,11.0,0.32113725,0.36759514,0.3112676
1.0,1.0,2.0,14.0,India,11.0,0.0,11.0,0.32113725,0.36759514,0.3112676
1.0,1.0,2.0,15.0,India,11.0,0.0,11.0,0.32113725,0.36759514,0.3112676
1.0,1.0,2.0,16.0,India,11.0,0.0,11.0,0.32113725,0.36759514,0.3112676
1.0,1.0,2.0,17.0,India,11.0,0.0,11.0,0.32113725,0.36759514,0.3112676
1.0,1.0,2.0,18.0,India,11.0,1.0,11.0,0.3299705,0.37620506,0.29382446
1.0,1.0,3.0,19.0,India,11.0,1.0,11.0,0.32064664,0.3675943,0.31175908
1.0,1.0,3.0,20.0,India,11.0,1.0,11.0,0.33571872,0.3594389,0.3048424
1.0,1.0,3.0,21.0,India,11.0,1.0,11.0,0.34975606,0.35184333,0.29840058
1.0,1.0,3.0,22.0,India,11.0,1.0,11.0,0.36008248,0.3462558,0.29366174
1.0,1.0,3.0,23.0,India,11.0,1.0,11.0,0.35967377,0.3469978,0.29332843
1.0,1.0,3.0,24.0,India,11.0,1.0,11.0,0.36912295,0.35611397,0.27476305
1.0,1.0,4.0,25.0,India,11.0,1.0,11.0,0.37823763,0.3657904,0.25597197
1.0,1.0,4.0,26.0,India,11.0,1.0,11.0,0.37525827,0.36290908,0.26183265
1.0,1.0,4.0,27.0,India,11.0,1.0,11.0,0.3832069,0.38871616,0.228077
1.0,1.0,4.0,28.0,India,11.0,1.0,11.0,0.38043526,0.39313737,0.22642736
1.0,1.0,4.0,29.0,India,11.0,1.0,11.0,0.38043526,0.39313737,0.22642736
1.0,1.0,4.0,30.0,India,11.0,1.0,11.0,0.38043526,0.39313737,0.22642736
1.0,1.0,5.0,31.0,India,11.0,1.0,11.0,0.38197374,0.40813783,0.20988846
1.0,1.0,5.0,32.0,India,15.0,1.0,15.0,0.35967377,0.3469978,0.29332843
1.0,1.0,5.0,33.0,India,15.0,1.0,15.0,0.36912295,0.35611397,0.27476305
1.0,1.0,5.0,34.0,India,15.0,1.0,15.0,0.3648625,0.36484346,0.27029398
1.0,1.0,5.0,35.0,India,15.0,1.0,15.0,0.3648625,0.36484346,0.27029398
1.0,1.0,5.0,36.0,India,15.0,1.0,15.0,0.37276477,0.3727453,0.25448993
1.0,1.0,6.0,37.0,India,15.0,1.0,15.0,0.3832069,0.38871616,0.228077
1.0,1.0,6.0,38.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,6.0,39.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,6.0,40.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,6.0,41.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,6.0,42.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,7.0,43.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,7.0,44.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,7.0,45.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,7.0,46.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,7.0,47.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,7.0,48.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,8.0,49.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,8.0,50.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,8.0,51.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,8.0,52.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,8.0,53.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,8.0,54.0,India,15.0,1.0,15.0,0.38043526,0.39313737,0.22642736
1.0,1.0,9.0,55.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,9.0,56.0,India,15.0,1.0,15.0,0.38197374,0.40813783,0.20988846
1.0,1.0,9.0,57.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,9.0,58.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,9.0,59.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,9.0,60.0,India,16.0,1.0,16.0,0.37452912,0.39688504,0.22858582
1.0,1.0,10.0,61.0,India,16.0,1.0,16.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,62.0,India,16.0,1.0,16.0,0.38792446,0.40420803,0.20786752
1.0,1.0,10.0,63.0,India,20.0,1.0,20.0,0.38792446,0.40420803,0.20786752
